,predicted_rating
634,7.0661335
635,6.6637287
636,4.6981907
637,6.087591
638,6.148845
639,6.494097
640,6.567561
641,4.692356
642,6.7070985
643,4.4482317
644,5.3531713
645,5.8410325
646,7.048959
647,6.8726325
648,5.939415
649,5.107075
650,6.174929
651,6.7324543
652,4.5188694
653,3.8097165
654,5.6056013
655,6.2014813
656,6.026232
657,5.9535537
658,4.850094
659,6.3915663
660,6.1938834
661,6.113612
662,6.1877317
663,6.124095
664,6.299907
665,6.112277
666,6.6373444
667,5.77669
668,5.6878796
669,5.6016927
670,4.5638876
671,5.2270947
672,6.0366054
673,5.8854957
674,6.408042
675,6.602828
676,6.4447346
677,5.6025047
678,6.6773863
679,5.6330924
680,7.2017126
681,5.892723
682,5.249171
683,5.306378
684,6.337666
685,6.3780556
686,7.1002436
687,6.8850555
688,5.4614763
689,5.919166
690,6.406147
691,5.6939216
692,6.2076836
693,3.618546
694,5.503637
695,6.5906014
696,6.5643983
697,5.9673414
698,6.966181
699,5.100188
700,5.5962687
701,5.112039
702,6.841966
703,6.644621
704,6.5002203
705,6.5736747
706,3.9265652
707,6.1437306
708,4.9268937
709,6.035686
710,5.5975924
711,6.4801393
712,5.6607656
713,5.7766886
714,8.084971
715,5.846642
716,7.3640513
717,6.272159
718,6.091949
719,6.3349853
720,6.9038725
721,6.2735124
722,5.7828665
723,4.47948
724,5.6094527
725,6.372264
726,5.8600225
727,6.263109
728,5.237918
729,5.93796
730,6.5697856
731,6.6174617
732,4.50495
733,6.49296
734,5.5886164
735,5.204214
736,4.793854
737,7.352072
738,6.8623123
739,5.5674653
740,7.003621
741,6.76661
742,5.1658525
743,8.09137
744,6.0045495
745,6.324293
746,3.6134605
747,6.8982706
748,6.8418727
749,5.9236326
750,3.8074946
751,5.078014
752,5.768361
753,6.1601825
754,4.397477
755,5.6160054
756,6.333566
757,5.825675
758,5.3950067
759,5.989993
760,6.8392615
761,5.5962048
762,4.846877
763,4.095888
764,5.3662724
765,6.2341285
766,6.2500443
767,6.5136576
768,4.6871014
769,5.6847267
770,6.337166
771,6.209924
772,6.4630566
773,6.3747706
774,5.81573
775,5.531635
776,5.593358
777,5.619013
778,6.522228
779,6.448787
780,5.509695
781,5.626686
782,4.896214
783,5.9136972
784,6.625464
785,5.0182548
786,6.6193757
787,5.368615
788,6.322665
789,6.512932
790,6.226588
791,5.808375
792,6.2318444
793,4.9788637
794,5.9427733
795,5.1125298
796,7.144073
797,5.915547
798,3.8990188
799,6.6439466
800,6.2730527
801,7.15439
802,6.742195
803,6.7864537
804,5.064973
805,6.296103
806,5.0176163
807,4.506694
808,4.199162
809,6.1957946
810,5.7163224
811,5.4439974
812,6.391105
813,5.818131
814,6.548123
815,6.0249496
816,5.922172
817,5.9822507
818,5.4238553
819,6.3632927
820,6.2883086
821,5.5854087
822,5.965702
823,6.81699
824,5.13701
825,6.419997
826,5.8802385
827,4.795168
828,5.812103
829,6.752271
830,5.987162
831,5.9173927
832,5.8354387
833,6.4716887
834,5.1290364
835,6.4706078
836,5.97534
837,4.394687
838,6.345884
839,6.1876435
840,6.1883326
841,6.4037595
842,6.4922705
843,6.8346744
844,6.7516184
845,6.3222227
846,5.12076
847,6.825629
848,5.691723
849,7.9274087
850,6.8843327
851,7.0249333
852,6.142832
853,6.5264134
854,6.9870305
855,6.7397375
856,6.3017797
857,5.6752133
858,6.095162
859,6.605745
860,6.115841
861,4.5915174
862,3.9988682
863,6.895395
864,6.5940843
865,5.980258
866,6.2368207
867,5.882988
868,4.979841
869,6.1430316
870,5.800933
871,6.180632
872,6.3803186
873,6.428203
874,5.567147
875,6.862962
876,6.521854
877,4.7215915
878,6.293175
879,6.231198
880,6.5148163
881,5.5328407
882,5.3067393
883,7.338996
884,4.217101
885,6.4053626
886,5.7916794
887,5.81723
888,7.6257396
889,4.40481
890,6.669655
891,5.638854
892,6.404793
893,6.2847495
894,5.864293
895,6.1580367
896,6.3938837
897,5.14862
898,5.931985
899,6.0474834
900,5.9005713
901,5.092966
902,5.29429
903,5.454944
904,6.495402
905,6.582323
906,5.7149577
907,6.165647
908,6.501464
909,5.500418
910,4.5359716
911,4.9443145
912,5.3905673
913,6.936066
914,6.515273
915,6.4484925
916,6.1638217
917,6.7033854
918,4.5431433
919,6.558664
920,4.584429
921,6.7469172
922,6.1476765
923,6.7210846
924,6.3604956
925,5.6568675
926,6.039793
927,6.6466403
928,6.7480454
929,5.5767484
930,4.0086513
931,5.1998115
932,5.5560136
933,5.6845355
934,5.8913984
935,6.4334574
936,6.1794977
937,5.608719
938,3.834382
939,6.277307
940,6.8326573
941,6.572203
942,7.020028
943,3.6017308
944,6.323874
945,6.6663113
946,6.3829217
947,5.507174
948,5.588345
949,5.72232
950,5.991126
951,5.8260946
952,4.870973
953,7.380115
954,6.483103
955,5.3960204
956,5.463015
957,6.475293
958,6.157202
959,6.2757797
960,6.7527347
961,4.763801
962,6.8492675
963,6.3069835
964,5.8328404
965,4.808152
966,7.1167936
967,6.2543097
968,6.8440423
969,6.4728017
970,6.593494
971,6.196636
972,6.5279064
973,6.03659
974,5.557004
975,5.410998
976,5.467939
977,6.5439487
978,6.447326
979,6.302135
980,6.03461
981,6.0902395
982,6.914031
983,6.5330157
984,6.2560234
985,4.219756
986,6.085321
987,6.0409822
988,6.3192325
989,3.5416186
990,5.962905
991,6.7543573
992,6.111191
993,6.5115285
994,5.60339
995,4.005698
996,7.1265125
997,6.3975983
998,6.305548
999,6.47519
1000,5.8287673
1001,5.09261
1002,5.494369
1003,5.5772634
1004,5.2874637
1005,6.7128487
1006,5.582016
1007,6.4365954
1008,5.3490934
1009,7.4388814
1010,6.6527195
1011,7.9588437
1012,5.923748
1013,5.259683
1014,5.9231715
1015,5.867073
1016,7.0680013
1017,5.9629164
1018,6.4308977
1019,6.3756313
1020,6.513742
1021,7.2641153
1022,3.6005323
1023,6.2735057
1024,7.0284586
1025,8.057933
1026,5.270217
1027,6.151963
1028,5.1984234
1029,5.8454175
1030,7.0276184
1031,6.214946
1032,5.7414446
1033,5.9401093
1034,6.0515947
1035,6.7455683
1036,6.433835
1037,6.914395
1038,5.9063163
1039,6.477077
1040,6.013426
1041,5.386732
1042,6.1094594
1043,5.7946343
1044,5.850228
1045,5.9478574
1046,5.232425
1047,5.398443
1048,7.195099
1049,6.043231
1050,5.832318
1051,6.66368
1052,5.8636765
1053,6.8269424
1054,5.2246656
1055,6.429295
1056,5.692456
1057,5.463675
1058,8.134617
1059,5.7259674
1060,5.775847
1061,6.592706
1062,5.714798
1063,6.4181004
1064,4.6123624
1065,5.460853
1066,6.289301
1067,5.251018
1068,6.1199784
1069,7.2674565
1070,6.1519585
1071,5.699651
1072,5.36074
1073,5.8752465
1074,6.800754
1075,6.016616
1076,5.583922
1077,3.8693786
1078,5.878941
1079,6.501006
1080,6.4283776
1081,6.581887
1082,5.874197
1083,5.1212707
1084,6.1158476
1085,5.7082734
1086,5.1331153
1087,5.7940364
1088,5.546991
1089,6.0627594
1090,6.854175
1091,6.2257223
1092,7.349176
1093,6.366133
1094,6.3243437
1095,5.88707
1096,6.486863
1097,6.468183
1098,6.1088233
1099,3.6983643
1100,5.92614
1101,5.851202
1102,5.3313823
1103,6.4769197
1104,6.2100224
1105,5.9518147
1106,5.397655
1107,6.7499704
1108,6.100767
1109,5.9016333
1110,6.051017
1111,6.165826
1112,4.9861774
1113,5.490571
1114,5.0427547
1115,6.362731
1116,4.9500666
1117,5.305481
1118,5.627299
1119,6.3116055
1120,5.248744
1121,6.707874
1122,6.597599
1123,6.8858385
1124,5.236895
1125,6.3754296
1126,6.2103148
1127,6.800772
1128,5.306901
1129,7.7987247
1130,6.600196
1131,6.585082
1132,5.6733894
1133,6.2026844
1134,6.3251953
1135,5.960617
1136,7.461427
1137,5.263294
1138,6.926238
1139,4.8289976
1140,3.7113488
1141,6.0926223
1142,6.2169333
1143,6.747386
1144,6.3482485
1145,5.7331157
1146,3.6690874
1147,5.8471665
1148,6.2895365
1149,6.3577366
1150,5.330038
1151,4.959056
1152,6.283816
1153,6.097795
1154,6.758818
1155,6.089395
1156,5.8167834
1157,5.796795
1158,6.85851
1159,5.78715
1160,4.130537
1161,4.687282
1162,5.028428
1163,5.138903
1164,7.192465
1165,6.2371163
1166,6.3521996
1167,5.8544474
1168,6.0999284
1169,6.2090898
1170,5.3998895
1171,6.4627523
1172,5.2371736
1173,6.060239
1174,6.4812903
1175,5.2517986
1176,6.2817397
1177,6.7643476
1178,7.009989
1179,5.3110676
1180,6.65147
1181,8.344641
1182,6.036496
1183,7.0260153
1184,6.5075207
1185,5.5765734
1186,6.2691636
1187,5.9472766
1188,5.5489306
1189,6.2812333
1190,4.0210385
1191,6.251416
1192,6.309874
1193,5.930388
1194,5.7408943
1195,6.776208
1196,7.4244256
1197,5.4991326
1198,6.106393
1199,4.632511
1200,3.2571056
1201,4.52229
1202,5.1227913
1203,5.257792
1204,6.2832294
1205,5.19603
1206,6.7282634
1207,4.1984005
1208,4.4899015
1209,5.6605625
1210,3.7856472
1211,6.124203
1212,6.081946
1213,4.830215
1214,5.8954573
1215,5.8615713
1216,6.0876217
1217,6.4623923
1218,6.0175414
1219,6.3227844
1220,6.5887136
1221,5.164703
1222,6.100657
1223,6.3378406
1224,6.1628113
1225,7.057479
1226,5.226574
1227,3.724673
1228,4.9077883
1229,5.4809494
1230,5.9486737
1231,6.1254897
1232,6.2070417
1233,5.2864027
1234,6.686693
1235,6.1412063
1236,6.0093026
1237,6.5301476
1238,6.532529
1239,7.1022367
1240,4.710852
1241,5.3336887
1242,6.195887
1243,6.976447
1244,6.3009005
1245,6.3001733
1246,5.7323637
1247,5.8584895
1248,6.102833
1249,5.8553834
1250,6.4133096
1251,6.679951
1252,5.374636
1253,5.541515
1254,6.168215
1255,5.9401584
1256,5.420139
1257,6.0888176
1258,6.080761
1259,6.0906525
1260,5.583924
1261,5.170915
1262,6.1461825
1263,5.525771
1264,6.4823327
1265,5.8615966
1266,6.978444
1267,6.2561827
1268,6.6668186
1269,7.115308
1270,6.1236415
1271,6.5412364
1272,6.610349
1273,6.4682016
1274,5.675618
1275,6.6745257
1276,7.229674
1277,6.2722545
1278,6.6386786
1279,5.8919854
1280,5.878309
1281,5.955866
1282,5.773271
1283,4.1241407
1284,6.529676
1285,5.531738
1286,5.8335843
1287,5.1754313
1288,4.6104274
1289,6.721098
1290,5.27687
1291,6.651515
1292,5.401948
1293,6.690228
1294,6.2780414
1295,6.169775
1296,5.3576584
1297,6.764909
1298,6.83681
1299,5.9193034
1300,5.2616696
1301,6.2479334
1302,5.304251
1303,6.2599587
1304,6.2211704
1305,6.9006085
1306,6.2017117
1307,6.9952126
1308,4.596509
1309,6.1421337
1310,6.0780683
1311,6.6123686
1312,6.6739707
1313,6.240708
1314,6.479234
1315,5.2111974
1316,5.1638207
1317,6.19134
1318,6.0531645
1319,4.610163
1320,6.181151
1321,6.2663255
1322,6.9385276
1323,6.258263
1324,6.0230494
1325,6.5110474
1326,7.0947084
1327,6.904279
1328,6.2123423
1329,5.037697
1330,6.1127806
1331,4.684098
1332,6.1734853
1333,5.687818
1334,7.0378575
1335,6.309956
1336,6.724531
1337,5.2386684
1338,6.489745
1339,5.624743
1340,6.3123465
1341,5.4290495
1342,5.632733
1343,6.7742434
1344,6.449109
1345,6.9246006
1346,5.7267404
1347,4.8621593
1348,6.343136
1349,5.84501
1350,6.0950203
1351,6.124431
1352,6.0318933
1353,7.06162
1354,7.090099
1355,5.6415505
1356,6.5049486
1357,6.715326
1358,4.6241546
1359,6.0514917
1360,5.5128965
1361,4.754234
1362,5.435778
1363,4.9486437
1364,6.590273
1365,4.449706
1366,6.28382
1367,6.3459845
1368,5.601267
1369,6.342696
1370,5.0221553
1371,3.8423755
1372,6.8631544
1373,6.0723
1374,6.6668925
1375,5.6408005
1376,5.3741407
1377,6.456937
1378,4.487814
1379,5.569131
1380,5.635698
1381,4.1011114
1382,6.2719703
1383,5.41692
1384,7.657199
1385,6.397579
1386,7.6053867
1387,6.3550234
1388,5.8607864
1389,5.98901
1390,6.920909
1391,5.1801896
1392,6.0251775
1393,6.448652
1394,5.5724545
1395,5.0152545
1396,6.3362737
1397,5.8951435
1398,6.467853
1399,6.5413527
1400,7.9015265
1401,6.591385
1402,6.2499576
1403,7.515657
1404,7.455151
1405,7.31158
1406,5.7952027
1407,6.120579
1408,5.3669095
1409,5.470116
1410,5.8448195
1411,6.451807
1412,5.947659
1413,5.408058
1414,6.8756075
1415,5.637003
1416,7.0939193
1417,5.641395
1418,6.511238
1419,5.448783
1420,4.8269773
1421,6.5418687
1422,5.162968
1423,5.3203664
1424,5.7060466
1425,5.2658896
1426,5.686459
1427,6.663126
1428,5.9666543
1429,5.9737654
1430,5.3040223
1431,5.05222
1432,6.3498883
1433,6.48844
1434,6.340657
1435,6.0665283
1436,6.2450047
1437,5.39207
1438,5.972346
1439,6.117147
1440,5.3676705
1441,5.578103
1442,6.3630958
1443,5.6931314
1444,6.2210283
1445,5.205186
1446,6.1559396
1447,6.344768
1448,6.0956693
1449,6.217622
1450,5.696557
1451,5.935489
1452,6.7245736
1453,5.54388
1454,5.845409
1455,5.649952
1456,6.2807584
1457,5.867138
1458,5.9551907
1459,7.5750737
1460,6.2339525
1461,5.3708215
1462,5.688687
1463,6.4964423
1464,6.3214893
1465,4.3962364
1466,5.5665855
1467,6.017484
1468,5.223865
1469,5.5272756
1470,7.304905
1471,5.418648
1472,4.856698
1473,3.839569
1474,6.579243
1475,6.0653872
1476,5.3356805
1477,5.012849
1478,5.099855
1479,5.5779743
1480,6.176494
1481,4.95592
1482,4.5099726
1483,7.012491
1484,5.027261
1485,5.773289
1486,5.5451508
1487,5.5583687
1488,6.5676246
1489,7.3972077
1490,5.8852673
1491,4.4764585
1492,6.732421
1493,4.770527
1494,6.728127
1495,5.8534803
1496,5.8736663
1497,4.418273
1498,5.775969
1499,5.9380183
1500,5.567676
1501,5.6315575
1502,6.6480174
1503,7.5037003
1504,6.3124094
1505,6.2319865
1506,6.6535864
1507,6.3178816
1508,5.561766
1509,5.207304
1510,5.6682215
1511,4.9835463
1512,3.7069864
1513,6.329884
1514,6.67217
1515,6.7740135
1516,6.015521
1517,5.2916265
1518,4.39915
1519,6.204213
1520,5.971604
1521,4.293887
1522,6.3672485
1523,5.9176083
1524,5.2519045
1525,5.768044
1526,6.3705034
1527,6.301454
1528,5.7919273
1529,5.147929
1530,4.305832
1531,6.757467
1532,7.5444846
1533,6.1045485
1534,6.353497
1535,6.3861203
1536,4.61925
1537,5.0386896
1538,6.7503853
1539,6.9752474
1540,6.444847
1541,6.192584
1542,5.9498687
1543,6.1444025
1544,5.9014854
1545,6.1254306
1546,6.088264
1547,3.8214011
1548,6.226247
1549,5.8116274
1550,4.8978777
1551,6.2291627
1552,6.889132
1553,6.080819
1554,6.5411143
1555,6.4088917
1556,5.629088
1557,5.355392
1558,6.715324
1559,5.7748666
1560,6.03153
1561,6.3122706
1562,4.9623523
1563,4.1233635
1564,5.9527407
1565,6.615241
1566,6.2018204
1567,4.451272
1568,6.467702
1569,6.748695
1570,6.156595
1571,5.223766
1572,6.344979
1573,5.7894015
1574,4.469264
1575,6.166916
1576,5.53155
1577,6.7843037
1578,5.344564
1579,6.062096
1580,4.4512844
1581,4.996647
1582,4.8425784
1583,5.710538
1584,5.7523513
1585,5.8437724
1586,6.0329943
1587,7.5120015
1588,6.6135864
1589,7.5081525
1590,6.972077
1591,5.1216426
1592,6.7230153
1593,6.695319
1594,5.911274
1595,5.361047
1596,5.241635
1597,6.0779767
1598,6.550236
1599,6.49894
1600,6.580919
1601,5.8625045
1602,6.441651
1603,5.103882
1604,6.8122206
1605,6.053285
1606,5.719896
1607,6.8336945
1608,6.966634
1609,5.604269
1610,6.4630938
1611,6.5428586
1612,6.73524
1613,5.6186557
1614,4.189678
1615,3.8891842
1616,6.816628
1617,6.0174484
1618,5.668444
1619,6.1204786
1620,5.8299356
1621,4.274767
1622,6.521913
1623,5.8062396
1624,7.051485
1625,3.8731081
1626,6.7644515
1627,5.7812843
1628,5.2365274
1629,4.7058845
1630,4.1080866
1631,5.736867
1632,5.047274
1633,4.9872127
1634,3.6254864
1635,5.982167
1636,6.3525324
1637,6.203547
1638,6.0407734
1639,5.6174364
1640,5.702802
1641,6.275112
1642,6.0724134
1643,5.5590005
1644,5.803709
1645,6.0027905
1646,4.3172064
1647,5.3669963
1648,5.869476
1649,3.8098488
1650,6.4333
1651,7.340098
1652,6.4334965
1653,6.2076974
1654,5.978285
1655,7.1140466
1656,4.753578
1657,6.6370573
1658,6.2914386
1659,6.2639575
1660,4.989625
1661,6.071658
1662,6.1025357
1663,6.8944197
1664,6.007013
1665,5.20179
1666,3.6151536
1667,4.5694575
1668,5.3317184
1669,6.3749585
1670,6.0182514
1671,4.837039
1672,5.3975706
1673,7.401247
1674,6.8595343
1675,6.501371
1676,6.606719
1677,6.4596987
1678,6.2687287
1679,4.722921
1680,5.6838202
1681,6.503828
1682,7.106346
1683,8.269407
1684,5.932271
1685,5.5561886
1686,7.3612604
1687,6.823916
1688,4.5349503
1689,5.970934
1690,6.388668
1691,6.5124407
1692,5.874371
1693,6.824886
1694,6.77603
1695,6.326943
1696,5.7563667
1697,6.2255096
1698,3.8223786
1699,5.982315
1700,5.3059306
1701,4.8996587
1702,6.455656
1703,6.414375
1704,5.0553865
1705,5.333388
1706,6.2022905
1707,6.06918
1708,7.1841965
1709,6.369056
1710,4.141728
1711,6.492381
1712,5.96433
1713,6.572632
1714,5.7780485
1715,6.7787967
1716,5.6252413
1717,7.091066
1718,5.4804955
1719,7.1490226
1720,5.1016355
1721,6.2063913
1722,7.0524945
1723,6.413159
1724,4.927557
1725,3.47529
1726,5.0399575
1727,5.771915
1728,6.3777766
1729,5.331068
1730,5.2648354
1731,5.722786
1732,6.861293
1733,5.9337215
1734,5.958899
1735,7.564831
1736,6.344077
1737,5.7865415
1738,5.318247
1739,4.437334
1740,5.648752
1741,4.4916773
1742,6.758907
1743,5.8288393
1744,6.2120214
1745,5.759192
1746,5.9663258
1747,5.838221
1748,6.0899944
1749,4.9934955
1750,6.387357
1751,6.300157
1752,6.133109
1753,6.084958
1754,5.23681
1755,7.2959023
1756,7.3558865
1757,6.243357
1758,6.4726415
1759,6.3279753
